indicator,unit,year_1_mean,year_1_se,year_1_sig,year_2_mean,year_2_se,year_2_sig,year_3_mean,year_3_se,year_3_sig,rainy_season_mean,rainy_season_se,rainy_season_sig,winter_mean,winter_se,winter_sig,summer_mean,summer_se,summer_sig,control_N0_mean,control_N0_se,control_N0_sig,N30_mean,N30_se,N30_sig,N60_mean,N60_se,N60_sig,N90_mean,N90_se,N90_sig,N120_mean,N120_se,N120_sig,N150_mean,N150_se,N150_sig
soil_ph,unitless,7.12,0.06,c,7.04,0.06,b,6.92,0.06,a,6.78,0.04,a,7.03,0.04,b,7.26,0.03,c,7.8,0.02,f,7.37,0.03,e,7.15,0.02,d,6.92,0.02,c,6.68,0.03,b,6.22,0.02,a
microbial_biomass_nitrogen,μg/g,66.89,6.85,b,68.8,8.9,b,63.42,6.36,a,55.37,7.21,a,65.59,6.33,b,78.16,8.78,c,51.76,0.85,b,75.01,3.0,c,83.01,3.63,d,88.51,3.12,e,53.74,1.47,b,46.22,1.67,a
ammonification_rate,μg·g⁻¹·month⁻¹,13.79,0.32,b,12.54,0.3,b,11.36,0.27,a,18.88,0.26,c,9.7,0.19,b,8.76,0.17,a,10.17,0.35,a,12.12,0.51,abc,13.87,0.66,cd,14.7,0.7,d,13.16,1.16,bcd,11.36,0.87,ab
nitrification_rate,μg·g⁻¹·month⁻¹,9.52,0.25,b,8.8,0.23,b,7.59,0.19,a,13.34,0.2,c,6.8,0.15,b,5.9,0.12,a,6.98,0.23,a,8.51,0.5,c,9.35,0.58,c,10.18,0.71,d,8.86,0.81,cd,7.97,0.66,ab
nitrogen_mineralization_rate,μg·g⁻¹·month⁻¹,23.31,0.56,b,21.34,0.52,b,18.95,0.46,a,32.22,0.45,c,16.5,0.33,b,14.66,0.27,a,17.15,0.58,a,20.63,1.0,abc,23.22,1.21,cd,24.88,1.41,d,22.02,1.97,bcd,19.33,1.53,ab
ammonium_nitrogen,μg/g,7.11,0.19,c,6.47,0.13,b,5.27,0.15,a,4.22,0.1,a,6.39,0.12,b,8.24,0.16,c,4.61,0.17,a,5.91,0.2,c,6.97,0.2,d,8.59,0.26,e,6.16,0.21,cd,5.45,0.19,b
nitrate_nitrogen,μg/g,4.34,0.11,c,3.86,0.12,b,3.54,0.1,a,2.6,0.05,a,3.77,0.06,b,5.36,0.11,c,2.66,0.09,a,3.68,0.08,c,4.73,0.12,e,5.2,0.19,f,3.99,0.16,d,3.2,0.12,b
inorganic_nitrogen,μg/g,11.44,0.29,c,10.33,0.23,b,8.81,0.24,a,6.83,0.13,a,10.16,0.18,b,13.6,0.24,c,7.28,0.25,a,9.59,0.28,c,11.7,0.31,e,13.79,0.43,f,10.15,0.34,d,8.65,0.27,b
total_nitrogen,g/kg,1.65,0.17,a,1.9,0.21,b,1.79,0.2,b,2.49,0.31,c,1.7,0.2,b,1.15,0.07,a,1.23,0.06,a,1.6,0.09,bc,2.23,0.1,d,2.44,0.13,d,1.74,0.07,c,1.43,0.03,ab
ammonium_leaching,μg/g,1.65,0.1,a,2.14,0.14,b,2.5,0.15,c,4.42,0.09,c,1.61,0.06,b,0.26,0.01,a,1.42,0.14,a,1.73,0.16,b,1.9,0.16,c,2.23,0.18,d,2.33,0.19,e,2.97,0.24,f
nitrate_leaching,μg/g,2.85,0.14,a,3.83,0.19,b,4.54,0.23,c,6.99,0.14,c,3.58,0.08,b,0.64,0.02,a,2.41,0.18,a,3.23,0.23,b,3.74,0.28,c,4.04,0.28,d,4.38,0.31,e,4.62,0.33,f
inorganic_nitrogen_leaching,μg/g,4.49,0.24,a,5.97,0.32,b,7.04,0.38,c,11.41,0.22,c,5.19,0.13,b,0.9,0.02,a,3.83,0.32,a,4.96,0.39,b,5.64,0.43,c,6.27,0.46,d,6.71,0.5,e,7.59,0.56,f
